user_id,scroll count,mouse movement count,click count,User Record Count,Total Time,Total Distance,validation,Min Score Value,Max Score Value,bf _votes_ 1 _count,bf _votes_ 5 _count,bf _votes_ 3 _count,bs _votes_ 3 _count,miq _votes_ 3 _count,pgi _votes_ 4 _count,bs _votes_ 1 _count,bs _votes_ 4 _count,bs _votes_ 5 _count,miq _votes_ 1 _count,miq _votes_ 2 _count,miq _votes_ 4 _count,miq _votes_ 5 _count,pgi _votes_ 1 _count,pgi _votes_ 2 _count,pgi _votes_ 3 _count,pgi _votes_ 5 _count,pgi _votes_ 7 _count,bf _votes_ 4 _count,bf _votes_ 2 _count,bs _votes_ 2 _count,pgi _votes_ 6 _count,measure_width_covered,measure_height_covered,movesleft,movesright,no_horizontal_movement,perc_left_movement,perc_right_movement,perc_no_movement_x,movesup,movesdown,no_vertical_movement,perc_upwward_movement,perc_downward_movement,perc_no_movement_y,system,Max Speed,Avg Speed,Sd Speed,displacement,displacement_time,speed,speed_times,acceleration,acceleration_times,traj_step_angles,traj_heading,length,net_displacement
1461,57,11409,245,11711,439.966,94130.15126,0,1,7,2,1,19,1,25,31,0,3,0,3,10,23,5,9,10,11,16,2,12,8,0,5,52.30527086,54.33463542,4152,4714,2845,35.45384681,40.25275382,24.29339937,2674,5271,3766,22.83323371,45.00896593,32.15780036,pc,9.92713752,0.050390731,0.283287889,99.50954188,189.1887128,57.74154686,189.1887128,0.560080561,189.1754894,57.73413811,56.51075289,18707.79387,425.027058
1462,15,5582,259,5856,242.481,38055.76059,1,2,7,0,0,22,2,34,32,0,2,0,0,8,23,1,0,1,15,25,1,11,9,0,10,29.54465593,35.95054945,1820,1726,2310,31.07923497,29.47404372,39.44672131,1114,3556,1186,19.02322404,60.72404372,20.25273224,pc,12.69912267,0.125233451,0.587852079,76.33590357,119.9315565,69.62706444,119.9315565,-72.59316786,119.9287311,60.65685968,61.26920798,16183.21156,467.0770814
1463,0,15208,588,15796,842.954,463090.0228,1,1,6,4,0,21,1,20,58,1,1,0,6,11,23,6,2,12,7,3,0,6,11,1,2,64.5453125,53.75865385,5435,6652,3709,34.40744492,42.11192707,23.48062801,4297,5328,6171,27.20308939,33.73005824,39.06685237,pc,25.55505556,0.079058027,0.485383497,92.41768346,451.86241,58.29715059,451.86241,11.15797036,451.859995,27.26291817,30.31630768,18483.53669,405.4639318
1464,2618,227,227,3072,957.481,37874.59589,1,1,7,10,10,9,0,11,21,4,0,0,0,4,28,23,12,8,6,11,14,8,5,0,12,54.16504854,239.9434296,126,139,2807,4.1015625,4.524739583,91.37369792,276,2569,227,8.984375,83.62630208,7.389322917,pc,1.563384969,0.027971404,0.103059478,228.4926423,420.0321077,76.81218511,420.0321077,1.072182349,420.0087646,83.59625555,44.26817601,46612.49903,1110.007207
1465,93,14098,335,14526,523.414,377308.0258,1,1,7,3,3,9,1,10,10,0,3,0,0,0,50,6,0,4,4,28,18,17,10,0,20,100.0636896,88.10142857,4912,6306,3308,33.81522787,43.4118133,22.77295883,4916,5797,3813,33.8427647,39.90775162,26.24948368,pc,389.8532623,0.508910925,7.271605491,189.7553863,245.9102,101.9739217,245.9102,12.80221012,245.8948158,58.09492486,34.26214774,36053.5234,429.9139449
1466,0,18328,268,18596,945.136,132400.0661,1,1,7,3,5,16,1,10,17,0,0,2,0,11,13,32,6,3,9,18,14,13,5,1,17,42.67083333,39.76442308,6914,7209,4473,37.18003872,38.76640138,24.05355991,5863,6363,6370,31.52828565,34.21703592,34.25467843,pc,14.27317346,0.032349834,0.218334401,170.6189318,468.4011506,68.30403246,468.4011506,15.00281031,468.383904,49.16070257,89.42581244,37365.54607,434.6584866
1469,0,10226,257,10483,682.265,134270.7638,1,1,7,9,6,6,0,14,43,1,1,0,4,8,33,7,19,8,3,5,3,10,11,2,3,39.59761905,40.75049505,3790,3971,2722,36.15377277,37.88037775,25.96584947,3644,3630,3209,34.76104169,34.62749213,30.61146618,pc,8.249727614,0.0620522,0.245125211,141.1262299,302.0043218,96.62827265,302.0043218,6.343245983,301.9953169,47.37256392,61.98492342,28507.49843,447.0178967
1474,108,12276,263,12647,880.875,164758.2088,1,1,7,6,8,10,1,8,25,1,0,1,19,15,7,17,42,0,0,1,14,10,8,1,2,59.48958333,48.32985437,5237,4108,3302,41.40902981,32.48201154,26.10895865,2797,5151,4699,22.11591682,40.72902665,37.15505654,pc,3.964853439,0.044029757,0.173683983,182.7336991,443.1960764,68.55559755,443.1960764,-19.15519767,443.037204,51.35518666,68.72084517,35815.80503,346.9755035
1475,211,11278,247,11736,755.914,66461.35366,1,1,7,14,8,6,1,10,10,1,0,0,4,5,20,27,32,12,14,3,6,6,8,2,7,124.7890263,80.32564841,5477,3698,2561,46.66837082,31.50988412,21.82174506,2629,4856,4251,22.40115883,41.37695978,36.22188139,pc,3.573555688,0.023405163,0.080318318,200.3871136,348.0048991,79.70902232,348.0048991,-105.425125,348.0044952,34.96304213,64.36274187,41680.51964,551.9202841
1476,0,23755,298,24053,914.469,259697.2577,1,1,7,3,2,10,0,14,12,1,1,0,4,8,15,25,12,13,12,16,5,14,13,2,14,74.875,38.29519231,10370,10941,2742,43.11312518,45.48704943,11.39982539,6630,6756,10667,27.56412921,28.08797239,44.34789839,pc,13.53046424,0.042265603,0.299615155,173.610636,455.5919912,69.65120375,455.5919912,10.82924631,455.4953684,43.36705936,67.82736129,39583.225,474.3174043
1479,15,6668,248,6931,925.73,95493.49147,0,1,7,12,5,12,0,59,14,2,0,0,0,1,3,3,8,14,14,13,7,10,3,2,14,36.38140556,48.25824176,2298,2364,2269,33.15538883,34.10763238,32.73697879,1883,3439,1609,27.16779685,49.61765979,23.21454336,pc,1.768601174,0.019322226,0.08416528,106.1388247,286.4056488,72.02518887,286.4056488,-1.14407886,286.3950774,56.87727686,62.98827939,17831.32255,562.1618984
1483,98,483,240,821,511.99,7146.00964,1,1,7,18,15,2,0,16,13,3,0,0,8,8,11,23,25,8,5,17,10,4,3,1,6,29.16471449,34.77747253,216,212,393,26.30937881,25.82216809,47.86845311,194,345,282,23.62971985,42.02192448,34.34835566,pc,44.50891012,0.253892098,1.686817776,103.3467671,231.6099051,54.30099416,231.6099051,0.960819018,231.6026492,47.07580035,50.40426224,21806.16786,562.5975471
1486,2078,233,233,2544,548.768,25031.54628,0,1,7,7,10,21,1,22,17,0,0,1,11,6,8,19,4,10,14,17,6,0,4,2,16,83.45833333,352.4673721,157,169,2218,6.171383648,6.643081761,87.18553459,767,1544,233,30.14937107,60.6918239,9.158805031,pc,2.422751959,0.031597202,0.089391047,262.9698657,217.9718829,117.6774624,217.9718829,30.4444212,217.9460967,84.46079312,55.05102425,38130.63052,922
1487,1622,242,242,2106,1075.351,28262.3631,1,1,6,0,0,20,2,28,9,1,0,0,0,18,18,2,4,18,30,13,0,9,13,1,10,66.28611111,315.5238095,135,140,1831,6.41025641,6.647673314,86.94207028,653,1210,243,31.00664767,57.45489079,11.53846154,pc,2.922159745,0.039961804,0.24790743,208.1373983,518.5284511,56.96448837,518.5284511,4.822842557,518.5093162,84.36468733,54.90659489,44749.54064,924.0021645
1488,112,8376,234,8722,717.677,69236.67353,1,1,7,24,18,0,0,1,2,2,0,2,2,2,0,61,51,0,0,2,27,0,0,0,2,91.05856515,63.62362637,3236,3278,2208,37.10158221,37.58312314,25.31529466,2357,3449,2916,27.02361844,39.54368264,33.43269892,pc,13.77480397,0.073602794,0.402887134,183.709366,363.395776,108.1235292,363.395776,16.585036,363.3830383,42.9339396,75.71740339,33618.81398,591.3653693
1489,0,12464,236,12702,533.889,67671.36437,1,1,7,1,0,13,2,24,13,1,0,0,2,7,29,4,10,19,16,16,1,17,11,1,9,35.043125,29.31511628,4973,4709,3020,39.15131475,37.07290191,23.77578334,2826,4771,5105,22.24846481,37.56101401,40.19052118,pc,10.66883574,0.032848566,0.143589284,203.1027393,264.8645649,112.8225447,264.8645649,5.446698306,264.8458599,56.80944057,73.65230567,40620.54787,501.3661337
1490,143,11386,517,12046,699.803,106341.6237,1,1,7,3,3,11,1,15,22,0,2,0,1,13,14,23,3,13,18,13,5,12,13,1,10,74.25622255,61.1484375,4736,4349,2961,39.3159555,36.1032708,24.5807737,3386,5304,3356,28.10891582,44.03121368,27.8598705,pc,20.21835827,0.067700105,0.548365526,117.65043,344.9911309,52.08637023,344.9911309,-319.1585988,344.9907757,39.25765241,23.0762059,25177.19202,473.4828402
