,km_label,user_id,validation
613,0,1732,1
614,0,1734,1
615,0,1735,1
616,0,1736,1
617,0,1737,1
618,0,1738,0
619,0,1739,1
620,0,1741,0
621,0,1744,0
622,0,1748,1
623,0,1750,1
624,0,1751,1
625,0,1752,1
626,0,1754,1
627,0,1755,0
628,0,1756,1
629,0,1757,0
630,0,1758,1
631,0,1761,1
632,0,1764,1
633,0,1765,1
634,0,1766,1
635,0,1767,1
636,0,1768,0
637,0,1769,1
638,0,1770,1
639,0,1771,1
640,0,1772,1
641,0,1773,1
642,0,1774,1
643,0,1775,1
644,0,1776,0
645,0,1777,1
646,0,1778,1
647,0,1779,1
648,0,1780,1
649,0,1781,1
650,0,1782,0
651,0,1783,1
652,0,1784,1
653,0,1785,1
654,0,1786,1
655,0,1787,1
656,0,1788,1
657,0,1789,1
658,0,1790,1
659,0,1791,1
660,0,1792,1
661,0,1793,1
662,0,1794,1
663,0,1795,1
664,0,1796,1
665,0,1797,1
666,0,1798,0
667,0,1799,1
668,0,1800,1
669,0,1801,1
670,0,1802,1
671,0,1803,1
672,0,1804,1
673,0,1805,1
674,0,1806,1
675,0,1808,1
676,0,1810,1
677,0,1811,1
678,0,1812,0
679,0,1813,0
680,0,1814,1
681,0,1815,1
682,0,1816,1
683,0,1817,1
684,0,1818,1
685,0,1819,1
686,0,1820,1
687,0,1821,1
688,0,1822,1
689,0,1823,1
690,0,1824,1
691,0,1826,1
692,0,1827,1
693,0,1828,1
694,0,1829,1
695,0,1830,1
696,0,1831,1
697,0,1832,1
698,0,1833,1
699,0,1834,1
700,0,1835,1
701,0,1836,0
702,0,1837,1
703,0,1838,1
