,km_label,user_id,validation
0,0,365,0
1,0,371,1
2,0,373,0
3,0,374,1
4,0,375,0
5,0,376,0
6,0,377,0
7,0,378,0
8,0,379,1
9,1,382,1
10,0,383,0
11,0,384,1
12,0,385,0
13,0,386,1
14,0,388,0
15,0,390,0
16,0,392,0
17,0,393,1
18,0,395,1
19,0,396,0
20,0,397,1
21,0,400,1
22,0,401,0
23,0,404,1
24,0,413,0
25,0,415,1
26,0,422,1
27,0,423,0
28,0,428,1
29,0,435,1
30,0,438,1
31,0,441,1
32,0,444,1
33,0,447,0
34,0,448,1
35,0,464,1
36,0,465,0
37,0,471,0
38,0,481,1
39,0,489,1
40,0,493,1
41,0,494,1
42,0,496,0
43,0,500,1
44,0,501,0
45,0,504,0
46,0,505,0
47,0,507,1
48,0,517,1
49,0,519,0
50,0,521,0
51,0,522,1
52,0,523,0
53,0,527,0
54,0,530,0
55,0,532,1
56,0,534,1
57,0,536,1
58,0,540,1
59,0,542,1
60,0,546,0
61,0,549,1
62,0,550,1
63,0,551,1
64,0,552,0
65,0,557,1
66,0,563,1
67,0,564,0
68,0,565,1
69,0,570,1
70,0,571,0
71,0,573,1
72,0,578,1
73,0,579,0
74,0,584,1
75,0,591,1
76,0,592,1
77,0,594,0
78,0,595,1
79,0,598,0
80,0,600,0
81,0,602,1
82,0,604,0
83,0,605,0
84,0,607,0
85,0,608,0
86,0,612,1
87,0,614,1
88,0,616,1
89,0,620,1
90,0,621,1
91,0,624,0
92,0,628,1
93,0,630,1
94,0,632,0
95,0,633,1
96,0,639,0
97,0,642,0
98,0,645,0
99,0,646,0
100,0,647,1
101,0,649,0
102,0,652,0
103,0,654,1
104,0,659,0
105,0,662,1
106,0,664,0
107,0,667,0
108,0,673,1
109,0,680,0
110,0,683,0
111,0,685,0
112,0,686,0
113,0,690,0
114,0,691,1
115,0,700,0
116,0,704,0
117,0,717,0
118,0,718,1
119,0,721,0
120,0,726,1
121,0,727,0
122,0,728,1
123,0,740,0
124,0,749,0
125,0,752,1
126,0,756,1
127,0,759,0
128,0,760,0
129,0,764,1
130,0,769,0
131,0,773,0
132,0,774,1
133,1,775,1
134,0,776,0
135,0,777,0
136,0,778,0
137,0,780,0
138,0,783,0
139,0,785,0
140,0,786,1
141,0,791,0
142,0,793,1
143,0,794,0
144,0,796,1
145,0,797,1
146,0,798,0
147,0,799,0
148,0,802,0
149,0,803,0
150,0,809,1
151,0,810,0
152,0,828,0
153,0,839,1
154,0,849,1
155,0,852,0
156,0,854,1
157,0,862,0
158,0,863,1
159,0,865,1
160,0,866,0
161,0,867,1
162,0,868,1
163,0,869,0
164,0,872,1
165,0,875,0
166,0,877,0
167,0,879,1
168,0,880,1
169,0,883,0
170,0,885,0
171,0,887,1
172,0,890,1
173,0,891,0
174,0,900,1
175,1,901,0
176,0,909,0
177,0,912,1
178,1,922,1
179,0,923,1
180,0,931,0
181,0,932,0
182,0,934,1
183,0,935,1
184,0,936,0
185,0,938,1
186,0,946,1
187,0,949,1
188,0,953,1
189,0,955,1
190,0,958,1
191,0,959,1
192,0,962,0
193,1,964,1
194,0,967,0
195,0,968,1
196,0,970,1
197,0,971,1
198,0,972,1
199,0,974,1
200,0,982,0
201,0,989,1
202,0,990,1
203,0,993,1
204,0,994,0
205,0,995,1
206,0,997,1
207,0,999,0
208,0,1001,1
209,0,1006,1
210,0,1007,1
211,0,1008,1
212,0,1011,0
213,0,1015,0
214,0,1017,0
215,0,1019,1
216,0,1020,0
217,0,1022,0
218,0,1024,0
219,0,1025,0
220,0,1027,1
221,0,1029,1
222,0,1033,1
223,0,1043,0
224,0,1046,1
225,0,1047,1
226,0,1049,1
227,0,1051,1
228,0,1071,1
229,0,1073,0
230,0,1077,0
231,0,1082,0
232,0,1089,1
233,0,1096,1
234,0,1101,0
235,0,1103,0
236,0,1104,0
237,0,1105,1
238,0,1108,1
239,0,1110,0
240,0,1111,0
241,0,1112,1
242,0,1114,0
243,0,1115,1
244,0,1119,1
245,0,1120,1
246,0,1121,0
247,0,1122,0
248,0,1125,0
249,0,1127,0
250,0,1128,1
251,0,1130,1
252,0,1131,1
253,0,1132,1
254,0,1141,1
255,0,1145,1
256,0,1146,1
257,0,1147,1
258,0,1150,0
259,0,1151,0
260,0,1153,0
261,0,1154,1
262,0,1155,1
263,0,1156,1
264,0,1158,1
265,0,1160,1
266,0,1161,1
267,0,1162,1
268,1,1163,1
269,0,1164,1
270,0,1165,0
271,0,1166,1
272,0,1167,0
273,0,1168,1
274,0,1169,0
275,0,1170,1
276,0,1171,1
277,0,1172,1
278,0,1173,0
279,0,1174,1
280,0,1175,0
281,0,1176,1
282,0,1177,1
283,0,1180,1
284,0,1181,0
285,0,1182,0
286,0,1185,1
287,1,1186,0
288,0,1188,1
289,0,1189,1
290,1,1190,0
291,0,1191,1
292,0,1193,1
293,0,1194,1
294,0,1196,0
295,0,1197,0
296,0,1198,1
297,0,1199,1
298,0,1200,0
299,0,1202,1
300,0,1203,1
301,0,1204,1
302,0,1205,1
303,0,1206,1
304,0,1208,0
305,0,1209,0
306,0,1210,1
