,shifted_percx_absolute,user_id,shifted_percy_absolute,measure_width_covered,measure_height_covered,movesleft,movesright,no_horizontal_movement,totalmovements_x,perc_left_movement,perc_right_movement,perc_no_movement_x,movesup,movesdown,no_vertical_movement,totalmovements_y,perc_upwward_movement,perc_downward_movement,perc_no_movement_y
0,2772.125,365,3744.7674418605284,27.72125,37.44767441860528,1427,1332,2245,5004,28.5171862509992,26.618705035971225,44.86410871302958,1512,2620,872,5004,30.215827338129497,52.35811350919265,17.42605915267786
1,1565.4074473826329,371,2256.4102564102454,15.654074473826329,22.564102564102456,1681,1557,805,4043,41.57803611179817,38.511006678209256,19.91095720999258,1327,1950,766,4043,32.822161761068514,48.231511254019296,18.946326984912194
2,3455.0512445095437,373,4327.609890109809,34.550512445095436,43.276098901098095,2347,2175,1429,5951,39.43874978995127,36.54847924718535,24.012770962863385,1719,2539,1693,5951,28.88590152915476,42.66509830280626,28.449000168038985
3,5897.364568082111,374,6338.186813186705,58.97364568082111,63.38186813186705,1829,1546,1599,4974,36.77121029352634,31.08162444712505,32.14716525934861,1626,2169,1179,4974,32.68998793727383,43.606755126658626,23.70325693606755
4,5423.572474377792,375,5956.1813186812915,54.23572474377792,59.56181318681291,1447,1459,998,3904,37.06454918032787,37.3719262295082,25.563524590163933,1718,1476,710,3904,44.00614754098361,37.80737704918033,18.186475409836063
5,3333.4375,376,3626.7647058823477,33.334375,36.26764705882348,904,903,405,2212,40.86799276672694,40.822784810126585,18.309222423146473,1026,749,437,2212,46.383363471971066,33.860759493670884,19.755877034358047
6,5763.396778916775,377,6192.276422764421,57.63396778916775,61.92276422764421,2221,2750,1738,6709,33.104784617677744,40.9897153077955,25.905500074526756,1904,3216,1589,6709,28.3797883440155,47.93560888358921,23.68460277239529
7,6025.695461200625,378,5508.333333333314,60.25695461200625,55.08333333333314,689,721,411,1821,37.83635365183965,39.593629873695775,22.57001647446458,749,659,413,1821,41.13124656781988,36.18890719384954,22.679846238330587
8,10817.1875,379,9135.094850948552,108.171875,91.35094850948552,2286,2446,2415,7147,31.985448439904857,34.224149993004055,33.79040156709109,2479,3409,1259,7147,34.685882188330766,47.69833496571989,17.615782845949347
9,4508.504398826957,382,4979.395604395608,45.085043988269575,49.79395604395608,639,636,390,1665,38.37837837837838,38.1981981981982,23.423423423423422,503,774,388,1665,30.21021021021021,46.48648648648649,23.303303303303302
10,7559.5168374821105,383,9882.142857142058,75.5951683748211,98.82142857142058,3507,3276,17412,24195,14.494730316181029,13.539987600743956,71.96528208307501,3939,6116,14140,24195,16.280223186608804,25.277949989667288,58.44182682372391
11,4838.286969253425,384,5345.467032966821,48.38286969253425,53.454670329668204,2539,2326,1967,6832,37.163348946135834,34.04566744730679,28.790983606557376,1630,3758,1444,6832,23.85831381733021,55.005854800936774,21.135831381733023
12,8512.152269399812,385,6642.994505494432,85.12152269399812,66.42994505494431,830,1336,773,2939,28.24089826471589,45.457638652602924,26.301463082681188,1167,1295,477,2939,39.707383463763186,44.06260632868322,16.230010207553587
13,14387.408491947368,386,19719.642857141203,143.8740849194737,197.19642857141204,6954,6829,70640,84423,8.237091787782951,8.089027871551592,83.67388034066546,5889,11391,67143,84423,6.975587221491773,13.492768558331262,79.53164422017697
14,5292.734375,388,5530.526315789205,52.92734375,55.30526315789205,2146,2698,1843,6687,32.09211903693734,40.34694182742635,27.56093913563631,2093,3079,1515,6687,31.29953641393749,46.04456407955735,22.655899506505158
15,2040.4375,390,2569.302325581401,20.404375,25.69302325581401,884,812,597,2293,38.55211513301352,35.41212385521151,26.035761011774966,820,989,484,2293,35.761011774967294,43.131269079808106,21.107719145224596
16,2708.4919472913807,392,3473.214285714275,27.084919472913807,34.73214285714275,790,833,368,1991,39.67855349070818,41.83827222501256,18.483174284279258,965,646,380,1991,48.468106479156205,32.446007031642395,19.085886489201407
17,4111.054172767253,393,5542.032967032731,41.110541727672526,55.42032967032731,3393,3123,2760,9276,36.57826649417852,33.667529107373866,29.75420439844761,2855,4380,2041,9276,30.778352738249243,47.21862871927555,22.003018542475207
18,10225.329428989917,395,11858.928571427421,102.25329428989917,118.58928571427421,4239,4464,17780,26483,16.006494732469886,16.856096363705017,67.13740890382509,5143,5380,15960,26483,19.42000528641015,20.314919004644487,60.26507570894536
